Exam Q#,Question Type,1. Dimensional Analysis and Stoichiometry  ,2.Gas Laws and Kinetic Molecular Theory,3.Chemical Reactions and Thermodynamics,4.Structure of the Atom,5.Electrons and Quantum Properties,6.Periodic Trends,"7.Bonding, Lewis Structures, and Molecular Shapes",8.Intermolecular Forces and Macroscopic Properties,The number of learning goals present in the question,How many points question was worth,Reading requires heavy decoding and reading comprehension skills,Reading mentions knowledge of advanced chemistry topics,Reading that connects to niche topics,Reading visual data,"Setting up complex algebra expressions, multiple unit conversions/ very involved dimensional analysis","Setting ""scaffold"" for themselves to answer question",Making connections to lab concepts,Reasoning how the chemistry concepts connect to a real-life/hypothetical situation,Connecting answers
1i,MC,,NO,,,,,,,,7,,,,1,,,1,,
1ii,MC,,,,,B,,,,,7,,,,1,,,,,
1iii,MC,,,H,,,,,,,7,,,,1,,,,1,
1iv,MC,,,,,EG,,,,,7,,,,,,,,,
2a,SA,I,AI,,,,,,,,10,,,,,1,1,,,
2bi,SA,CG,,,,,,,,,5,,,,,,,,,
2bii,SA,BDH,,H,,,,,,,10,,,,,1,,,,
2c,SA,G,,J,,,,,,,12,,,1,1,,,,,
3ai,SA,,NO,,,,,,,,7,,,,,,,,,
3aii,SA,,NO,,,,,,,,7,,,,,,,,,
3b,SA,,,DH,,,,,,,13,,,,,,,,,
3c,MC,,O,,,,,,,,4,,,,,,,,,
3d,SA,,O,,,,,,,,12,,,,,,,,,1
4a,SA,GH,A,,,,,,,,10,1,,,,1,,,,
4b,SA,G,,DH,,,,,,,10,,,,,,,,,
4c,SA,,,BD,,,,,,,3,,,,,,,,,
4d,SA,B,,F,,,,,,,8,,,,,,,,,
4e,SA,,,DF,,,,,,,2,,,,,,,,,
4f,SA,,,DEFGH,,,,,,,7,,,,,,,,,
5a,SA,B,,DHI,,,,,,,16,1,,,,1,1,,,
5b,SA,,,DH,,,,,,,8,,,,,,,,1,
5c,SA,,,DHI,,,,,,,8,,,,,,,,1,
